States,DAY,MONTH,YEAR,DAY_WEEK,LATITUDE,LONGITUD,Weather,ARR_HOUR,ARR_MIN,DRUNK_DR,EMS_Arrival_Time
Alabama,1,1,2015,5,33.87865278,-87.32532778,Clear,2,0.016111111,1,2.02
Alabama,1,1,2015,5,34.91044167,-86.90870833,Cloudy,22,0.005555556,0,22.01
Alabama,1,1,2015,5,32.14200556,-85.75845556,Clear,1,0.0125,1,1.01
Alabama,4,1,2015,1,31.43981389,-85.5103,Cloudy,1,0.004166667,1,1
Alabama,7,1,2015,4,31.31933056,-85.5151,Clear,7,0.004444444,0,7
Alabama,8,1,2015,5,33.43849444,-85.38926667,Clear,10,0.004722222,0,10
Alabama,8,1,2015,5,34.77304444,-86.52766389,Clear,18,0.010555556,0,18.01
Alabama,3,1,2015,7,33.46248889,-86.87090556,Rain,21,0.013333333,0,21.01
Alabama,13,1,2015,3,33.2361,-86.81392222,Cloudy,8,0.000833333,0,8
Alabama,5,1,2015,2,34.75836667,-87.60750833,Clear,19,0.000277778,0,19
Alabama,7,1,2015,4,34.76602778,-86.87921111,Clear,21,0.005555556,0,21.01
Alabama,9,1,2015,6,34.36911667,-86.28887778,Clear,6,0.011388889,0,6.01
Alabama,10,1,2015,7,32.55177222,-85.74464444,Clear,NA,NA,1,NA
Alabama,11,1,2015,1,32.16270833,-85.71402778,Cloudy,6,0.008055556,1,6.01
Alabama,11,1,2015,1,33.96415,-87.60569722,Clear,8,0.015277778,0,8.02
Alabama,13,1,2015,3,32.61823889,-85.37138333,Cloudy,17,0.008333333,0,17.01
Alabama,14,1,2015,4,30.50592778,-88.233925,Cloudy,14,0.013888889,0,14.01
Alabama,16,1,2015,6,32.52434444,-86.67211944,Clear,19,0.009722222,1,19.01
Alabama,19,1,2015,2,33.22930833,-86.26927778,Clear,NA,NA,0,NA
Alabama,15,1,2015,5,33.46581111,-86.04999167,Rain,17,0.005,0,17
Alabama,23,1,2015,6,33.56601667,-86.52102222,Rain,14,0.001388889,0,14
Alabama,26,1,2015,2,33.84021944,-87.33155833,Clear,6,0.008333333,0,6.01
Alabama,12,1,2015,2,32.21718333,-85.91875,"Fog, smog, smoke",21,0.006944444,1,21.01
Alabama,2,1,2015,6,31.83945278,-85.2207,Clear,6,0.006944444,0,6.01
Alabama,15,1,2015,5,33.08890556,-87.67459722,Clear,NA,NA,1,NA
Alabama,13,1,2015,3,33.46460556,-86.941675,Cloudy,13,0.011666667,0,13.01
Alabama,17,1,2015,7,30.47271111,-87.66633056,Clear,14,0.013055556,0,14.01
Alabama,10,1,2015,7,32.43066389,-86.51791667,Clear,0,0.011111111,1,0.01
Alabama,23,1,2015,6,31.16130833,-85.19056111,Rain,5,0.014444444,0,5.01
Alabama,24,1,2015,7,32.78083333,-86.4702,Clear,13,0.009722222,0,13.01
Alabama,24,1,2015,7,33.92139167,-87.86725,Clear,16,0.014166667,0,16.01
Alabama,25,1,2015,1,33.74095278,-85.88291667,Clear,6,0.008333333,1,6.01
Alabama,23,1,2015,6,32.87644722,-85.87761667,Rain,21,0.007777778,1,21.01
Alabama,15,1,2015,5,30.65515556,-87.90710278,Cloudy,14,0.01,1,14.01
Alabama,28,1,2015,4,33.58196667,-86.92233333,Clear,9,0.008333333,0,9.01
Alabama,19,1,2015,2,30.85440833,-88.19383056,Clear,14,0.011388889,0,14.01
Alabama,26,1,2015,2,30.73176944,-87.78450833,Clear,14,0.016388889,0,14.02
Alabama,27,1,2015,3,30.612125,-88.07764444,Clear,16,0.015277778,0,16.02
Alabama,29,1,2015,5,30.55205833,-88.10484722,Clear,0,0.015277778,1,0.02
Alabama,20,1,2015,3,33.43090833,-86.71233333,Clear,16,0.000277778,0,16
Alabama,28,1,2015,4,34.37793333,-85.75579167,Clear,21,0.008333333,1,21.01
Alabama,31,1,2015,7,33.10606944,-87.46706944,Clear,19,0.001388889,0,19
Alabama,2,2,2015,2,34.51033611,-85.76049444,Cloudy,NA,NA,0,NA
Alabama,31,1,2015,7,33.39817778,-86.77766944,Clear,3,0.003888889,0,3
Alabama,31,1,2015,7,30.62482222,-88.12466111,Clear,8,0.01,0,8.01
Alabama,8,2,2015,1,32.84681944,-85.18687778,Clear,2,0.006666667,0,2.01
Alabama,22,1,2015,5,30.66823611,-88.05437222,Clear,0,0.003055556,1,0
Alabama,24,1,2015,7,30.97233333,-87.63953056,Clear,22,0.005555556,0,22.01
Alabama,29,1,2015,5,33.529925,-86.88088611,Clear,1,0.008888889,0,1.01
Alabama,31,1,2015,7,30.84359444,-88.39520556,Clear,5,0.003055556,0,5
Alabama,1,2,2015,1,31.82342222,-85.96047222,Rain,14,0.013611111,0,14.01
Alabama,9,2,2015,2,34.72961667,-86.85619722,Rain,4,0.015555556,0,4.02
Alabama,1,2,2015,1,33.03825556,-86.22563056,Rain,18,0.001666667,0,18
Alabama,3,2,2015,3,32.44788333,-87.96390278,Clear,17,0.011944444,0,17.01
Alabama,4,2,2015,4,34.86791111,-86.57139167,Clear,NA,NA,0,NA
Alabama,8,2,2015,1,30.52108889,-87.45863889,Clear,2,0.008333333,1,2.01
Alabama,4,2,2015,4,34.45239167,-85.78168333,Clear,18,0,0,18
Alabama,8,2,2015,1,31.82686111,-86.6481,Clear,14,0.012777778,0,14.01
Alabama,10,2,2015,3,34.65318611,-87.52819722,Clear,22,0.003611111,0,22
Alabama,10,2,2015,3,34.52244722,-85.82724444,Cloudy,18,0.006944444,0,18.01
Alabama,13,2,2015,6,34.06270556,-87.82596944,Clear,21,0.013333333,1,21.01
Alabama,14,2,2015,7,34.76898333,-86.49392222,Clear,11,0.000277778,0,11
Alabama,1,2,2015,1,31.28759444,-85.70040556,Clear,4,0.009166667,1,4.01
Alabama,4,2,2015,4,30.70100278,-88.12357222,Clear,0,0.007222222,0,0.01
Alabama,31,1,2015,7,30.45154444,-87.680225,Clear,10,0.014166667,0,10.01
Alabama,8,2,2015,1,32.32658333,-86.29738611,Cloudy,1,0.015,1,1.01
Alabama,11,2,2015,4,32.61580556,-85.50796111,Clear,12,0.003888889,0,12
Alabama,15,2,2015,1,32.27960278,-85.38346389,Clear,18,0.009722222,0,18.01
Alabama,15,2,2015,1,30.68153889,-88.06909444,Clear,21,0.003888889,1,21
Alabama,22,2,2015,1,33.493625,-86.16795833,Rain,4,0.004166667,1,4
Alabama,20,2,2015,6,34.2806,-86.19588056,NA,22,0.0125,0,22.01
Alabama,22,2,2015,1,33.44571389,-86.73578611,Clear,19,0.002777778,0,19
